timestamp,acc_x,acc_y,acc_z
1523256466058,-0.24480712,-15.686211,-4.2491093
1523256466084,-1.7100586,-13.55178,-3.815759
1523256466093,-0.088585466,-11.733982,-4.274847
1523256466115,2.8461072,-12.982558,-2.5540147
1523256466130,0.8002619,-13.51467,-3.1376014
1523256466148,-1.6208745,-12.163742,-5.502474
1523256466172,0.5351041,-10.649409,-2.373851
1523256466188,2.0697873,-10.093356,-2.7048495
1523256466216,0.3286042,-8.64666,-1.5532384
1523256466232,0.31483752,-7.8787193,-2.6862943
1523256466258,0.97264445,-6.779182,-2.7443538
1523256466286,0.20829555,-4.7937903,-2.244564
1523256466302,0.061650693,-2.6737247,-2.232593
1523256466340,0.2657564,-1.6633717,-2.332551
1523256466361,1.3706805,-2.1027076,-2.8496985
1523256466395,3.5003228,-2.9921536,-1.9117701
1523256466405,6.855198,-2.2559366,-3.2387564
1523256466430,8.562862,-1.6124948,-7.318476
1523256466456,7.0024414,-5.04159,-7.889493
1523256466482,3.2387564,-5.3402667,-8.223484
1523256466508,7.265804,-12.695254,-10.955867
1523256466533,4.6285906,-14.814123,0.87328506
1523256466549,2.9406781,-8.094796,-4.11264
1523256466575,-3.5565867,-5.553351,-5.197213
1523256466601,-3.8301241,-9.586982,-3.5757403
1523256466628,-1.2060791,-10.722432,-2.6402059
1523256466645,0.5069722,-10.499173,-1.5245079
1523256466668,2.2242134,-10.658986,-2.11827
